,case_name,backrub_steps,struct_num,score_function_name,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,total_score,yhh_planarity
0,6FEG,5000,1,fa_ref2015,8.740370150040008,0.0,0.9869723340602263,1.509903313490213e-14,2.8421709430404007e-13,-2.862859707763988,1.8772869583197007,-0.5802916444997841,9.894307595459395e-13,2.5652718134756576,-1.3312728697201237e-10,0.262684852981792,7.105427357601002e-15,-7.105427357601002e-15,-3.8191672047105385e-14,0.0,-7.105427357601002e-15,10.989434756483945,0.0
1,6FEG,5000,2,fa_ref2015,10.70317365297069,0.0,3.3536115184618893,-2.1316282072803006e-14,-3.907985046680551e-13,-1.3566803869995852,-4.5916351607138495,1.1069704669502514,4.510525286605116e-11,0.6526496171285494,2.2282620193436742e-11,-0.5946944212812255,0.0,7.105427357601002e-15,9.281464485866309e-14,7.105427357601002e-15,-7.105427357601002e-15,9.273395286584162,-2.220446049250313e-16
2,6FEG,5000,3,fa_ref2015,9.3975299355086,-5.684341886080802e-14,2.326163783002926,-4.884981308350689e-14,4.263256414560601e-14,-0.8435750871357612,-2.7480841407781327,0.045414757176015286,1.084998757505673e-11,-0.1892901351028229,5.4086513046058826e-11,0.10724510194317105,-7.105427357601002e-15,7.105427357601002e-15,3.042011087472929e-14,0.0,-7.105427357601002e-15,8.095404214680656,0.0
3,6FEG,5000,4,fa_ref2015,15.656782351029733,0.0,2.3446012640389995,8.881784197001252e-16,-1.2789769243681803e-13,-3.806055548879101,-5.514191713624086,-0.19633251689789688,-3.709033080667723e-11,1.4493963775125671,-1.4452439245360438e-10,-1.3516533151750352,0.0,-7.105427357601002e-15,-1.199040866595169e-14,0.0,-7.105427357601002e-15,8.582546897824642,0.0
4,6FEG,5000,5,fa_ref2015,13.746534568586412,5.684341886080802e-14,3.4477117838571303,-2.353672812205332e-14,2.1316282072803006e-14,-1.223659865007562,-5.221241644761449,1.8583868817562141,2.7066349161941616e-11,1.0405100466927877,4.383053919809754e-10,-1.257549259081543,-7.105427357601002e-15,7.105427357601002e-15,8.459899447643693e-14,7.105427357601002e-15,-7.105427357601002e-15,12.390692512508139,2.220446049250313e-16
5,6FEG,5000,6,fa_ref2015,13.4855332809218,-5.684341886080802e-14,2.528742942665076,-5.773159728050814e-14,-2.7711166694643907e-13,-2.6517532963320036,-5.315985300399575,-0.49868667257603505,1.056577048075269e-10,1.158250721459396,-2.728910430960241e-10,-0.8663855478666633,7.105427357601002e-15,7.105427357601002e-15,-5.995204332975845e-15,-7.105427357601002e-15,-7.105427357601002e-15,7.839716127702701,0.0
6,6FEG,5000,7,fa_ref2015,9.865657701079954,5.684341886080802e-14,2.124435274322934,-6.217248937900877e-15,-4.476419235288631e-13,-1.911241822629421,-2.7708905748161214,1.3004886155111102,-1.2175149777249317e-11,0.016383113457500542,-8.375877769140061e-11,-0.6396671352029699,0.0,7.105427357601002e-15,2.1316282072803006e-13,7.105427357601002e-15,-7.105427357601002e-15,7.985165171625965,0.0
7,6FEG,5000,8,fa_ref2015,10.690137092626628,-5.684341886080802e-14,1.6096908776327723,1.4210854715202004e-14,3.055333763768431e-13,-2.05939307586992,-2.747863412206584,1.3330028103099423,-1.2856027353791433e-10,-0.10733973347484849,8.050449196161935e-11,-0.3252555036538496,7.105427357601002e-15,0.0,-5.1736392947532295e-14,-7.105427357601002e-15,-7.105427357601002e-15,8.39297905531734,0.0
8,6FEG,5000,9,fa_ref2015,2.2523572805921503,0.0,-0.6356364435891351,-6.572520305780927e-14,-1.7053025658242404e-13,-0.39807473920258474,2.832107349507396,-0.03608940779477621,-9.448442028769932e-12,-0.023522372819510196,3.914095714208088e-10,1.0426451099095004,-7.105427357601002e-15,0.0,-1.3322676295501878e-14,0.0,-7.105427357601002e-15,5.033786776984471,0.0
9,6FEG,5000,10,fa_ref2015,11.794847409195654,0.0,1.9707994659571568,-2.6201263381153694e-14,-3.197442310920451e-13,-1.7698084388490116,-2.3872574991912643,2.1077176229274173,-9.309886195296713e-11,0.018261251123742994,-2.2635049390373752e-10,-0.8782043778287871,0.0,7.105427357601002e-15,2.0894397323445446e-13,0.0,-7.105427357601002e-15,10.856355433015722,2.220446049250313e-16
10,6FEG,5000,11,fa_ref2015,12.571696181709285,0.0,3.054740360126459,2.220446049250313e-14,-1.6342482922482304e-13,-1.872338797051313,-2.0317005827366756,1.2595267172501963,-3.05053760030205e-11,1.6963195383705703,2.1191226551309228e-10,-1.018000835816288,-7.105427357601002e-15,0.0,2.2426505097428162e-14,-7.105427357601002e-15,-7.105427357601002e-15,13.660242582032765,4.440892098500626e-16
